,y,perc,confounder,method
3,0.8595,0%,tag,resnet50
4,0.8866,20%,tag,resnet50
5,0.9263,50%,tag,resnet50
6,0.9686,80%,tag,resnet50
7,0.9999,100%,tag,resnet50
8,0.863,0%,stripe,resnet50
9,0.8863,20%,stripe,resnet50
10,0.9271,50%,stripe,resnet50
11,0.9626,80%,stripe,resnet50
12,1.0,100%,stripe,resnet50
13,0.8627,0%,edge,resnet50
14,0.8899,20%,edge,resnet50
15,0.928,50%,edge,resnet50
16,0.9647,80%,edge,resnet50
17,1.0,100%,edge,resnet50
18,,,,resnet50
3,0.8512,0%,tag,attri-net
4,0.887,20%,tag,attri-net
5,0.8995,50%,tag,attri-net
6,0.9735,80%,tag,attri-net
7,1.0,100%,tag,attri-net
8,0.8548,0%,stripe,attri-net
9,0.897,20%,stripe,attri-net
10,0.9447,50%,stripe,attri-net
11,0.9817,80%,stripe,attri-net
12,1.0,100%,stripe,attri-net
13,0.8332,0%,edge,attri-net
14,0.9028,20%,edge,attri-net
15,0.9191,50%,edge,attri-net
16,0.9653,80%,edge,attri-net
17,1.0,100%,edge,attri-net
18,,,,attri-net
